"correo","sexo","compañeros","hablar","estresarme","me importan los demas","desordenado","comodidad","malas palabras","empatico","social","conversaciones","orden y limpieza","divertirme","estudiar con otros","videojuegos","leer","deportes","anime","futbol","maquillaje","musica","acostarme tarde","Describase a si mismo","objetivo","puntuacion"
"lorem 126","M",1,5,3,1,1,1,5,3,3,4,4,2,3,5,3,4,2,5,2,5,1,"lorem",4,3.0454545454545454
"lorem 127","M",2,1,4,2,4,5,1,5,1,3,3,1,3,1,3,1,5,4,4,3,3,"lorem",5,2.909090909090909
"lorem 128","F",3,2,1,2,4,2,3,2,4,1,1,3,2,3,4,5,5,3,4,2,1,"lorem",2,2.6818181818181817
"lorem 129","F",1,5,3,2,5,1,3,2,3,4,2,3,4,1,5,1,2,1,2,4,1,"lorem",5,2.727272727272727
"lorem 130","F",1,5,2,2,5,5,5,4,1,5,2,2,1,1,3,1,1,5,1,3,3,"lorem",4,2.8181818181818183
"lorem 131","F",5,4,1,1,3,4,4,5,4,4,1,5,4,3,5,4,1,5,2,4,5,"lorem",5,3.590909090909091
"lorem 132","M",1,4,4,1,5,4,2,5,2,4,5,5,1,4,4,5,3,2,3,1,3,"lorem",4,3.272727272727273
"lorem 133","F",1,5,2,1,4,2,5,4,2,2,2,1,2,4,2,4,1,5,1,1,3,"lorem",5,2.6818181818181817
"lorem 134","M",3,3,3,4,4,1,1,5,1,5,3,3,4,3,3,1,3,2,5,2,3,"lorem",1,2.8636363636363638
"lorem 135","F",2,3,1,4,1,2,3,5,3,5,2,1,2,3,2,3,4,1,4,5,2,"lorem",3,2.772727272727273
"lorem 136","F",4,2,5,5,1,2,1,3,1,3,1,1,3,4,2,1,2,3,5,4,3,"lorem",5,2.772727272727273
"lorem 137","F",3,5,5,3,1,1,3,3,2,2,4,5,5,2,1,1,5,3,2,5,5,"lorem",1,3.0454545454545454
"lorem 138","F",2,2,1,4,5,2,2,4,3,3,2,2,1,5,4,2,5,4,4,3,1,"lorem",5,3
"lorem 139","M",4,4,1,2,5,4,3,2,4,5,3,1,3,2,4,4,2,4,1,4,4,"lorem",5,3.227272727272727
"lorem 140","M",4,1,5,3,3,1,5,3,2,5,2,3,1,1,5,3,2,2,2,4,5,"lorem",4,3
"lorem 141","M",1,4,5,3,4,3,4,4,4,4,1,2,2,1,1,2,5,3,1,1,4,"lorem",5,2.909090909090909
"lorem 142","M",5,1,1,3,5,1,3,2,3,1,5,1,2,3,1,2,3,3,3,3,1,"lorem",3,2.5
"lorem 143","M",1,5,4,1,1,5,4,1,5,4,4,2,3,5,5,2,4,5,1,4,5,"lorem",1,3.272727272727273
"lorem 144","F",1,5,2,3,5,3,5,2,1,1,1,3,1,1,4,2,1,2,1,5,5,"lorem",1,2.5
"lorem 145","M",1,4,4,1,4,1,2,1,1,5,3,5,2,4,3,5,1,3,3,3,3,"lorem",3,2.8181818181818183
"lorem 146","M",5,4,5,5,2,3,2,1,1,2,1,5,4,2,4,4,2,2,4,1,3,"lorem",1,2.8636363636363638
"lorem 147","F",4,2,4,5,4,5,1,4,3,1,3,2,5,4,3,5,3,2,2,1,5,"lorem",2,3.1818181818181817
"lorem 148","F",1,1,2,5,3,3,5,5,1,2,5,5,4,2,3,1,4,2,5,2,3,"lorem",1,2.9545454545454546
"lorem 149","F",1,2,1,1,5,5,3,1,5,4,4,1,3,3,5,3,3,3,4,1,4,"lorem",2,2.909090909090909
"lorem 150","F",3,1,1,1,4,4,2,5,4,2,1,2,3,5,4,3,1,5,1,1,3,"lorem",5,2.772727272727273
"lorem 151","M",1,1,3,2,2,1,4,2,2,5,1,5,2,3,4,3,4,5,1,3,1,"lorem",2,2.590909090909091
"lorem 152","F",1,2,3,1,2,5,1,2,3,5,2,2,3,3,1,5,5,2,5,5,4,"lorem",1,2.8636363636363638
"lorem 153","M",5,3,2,2,3,5,3,2,5,5,5,2,1,3,1,2,2,5,2,3,4,"lorem",1,3
"lorem 154","F",5,2,5,4,2,2,3,2,1,3,2,5,2,4,4,3,2,4,4,3,1,"lorem",1,2.909090909090909
"lorem 155","F",3,3,3,2,1,4,3,2,3,5,3,2,3,2,3,3,4,5,5,1,1,"lorem",1,2.8181818181818183
"lorem 156","F",1,4,2,3,4,5,5,3,5,1,3,5,1,2,5,2,5,5,3,4,2,"lorem",1,3.227272727272727
"lorem 157","F",1,2,1,5,5,2,1,3,1,4,1,4,2,3,1,5,5,2,2,4,5,"lorem",4,2.8636363636363638
"lorem 158","M",5,5,5,1,2,5,4,3,1,3,3,1,3,3,2,2,3,1,1,4,5,"lorem",1,2.8636363636363638
"lorem 159","M",2,3,2,3,3,1,3,1,4,1,3,1,2,5,3,2,1,5,4,3,3,"lorem",1,2.5454545454545454
"lorem 160","M",4,5,4,1,1,3,1,2,5,3,5,3,1,3,3,4,4,5,3,3,3,"lorem",1,3.0454545454545454
"lorem 161","M",2,3,3,3,2,2,3,1,5,5,1,5,3,5,1,1,4,5,2,3,5,"lorem",4,3.090909090909091
"lorem 162","M",2,4,3,5,1,2,5,4,2,1,3,4,5,2,2,5,3,3,3,2,5,"lorem",3,3.1363636363636362
"lorem 163","F",5,2,3,4,4,1,5,1,3,5,5,1,2,3,2,4,2,5,3,2,3,"lorem",3,3.090909090909091
"lorem 164","M",3,2,4,2,1,1,5,4,1,4,2,3,1,3,2,4,1,5,1,1,5,"lorem",3,2.6363636363636362
"lorem 165","M",4,2,2,5,5,5,4,1,5,5,4,1,2,4,1,5,3,1,1,1,1,"lorem",4,3
"lorem 166","F",5,5,4,1,5,2,2,5,2,2,4,2,2,5,4,5,1,5,3,1,3,"lorem",5,3.3181818181818183
"lorem 167","F",2,2,5,1,4,1,4,2,4,1,2,4,4,3,1,4,3,4,5,2,4,"lorem",2,2.909090909090909
"lorem 168","F",1,4,5,1,3,5,3,1,1,1,4,5,4,3,2,2,4,5,1,3,2,"lorem",2,2.8181818181818183
"lorem 169","F",5,5,5,4,1,1,1,5,5,1,5,1,1,5,4,4,2,1,1,5,3,"lorem",5,3.1818181818181817
"lorem 170","M",4,2,5,5,1,4,3,4,5,3,4,5,3,1,2,1,1,4,3,2,3,"lorem",4,3.1363636363636362
"lorem 171","F",1,5,4,3,3,4,4,1,5,5,4,5,2,3,5,3,4,2,5,1,4,"lorem",4,3.5
"lorem 172","M",3,2,2,1,2,2,3,3,4,1,2,3,1,2,4,3,2,3,2,4,4,"lorem",3,2.5454545454545454
"lorem 173","F",3,3,1,4,4,4,4,2,5,3,2,1,5,3,1,4,1,4,5,3,4,"lorem",3,3.1363636363636362
"lorem 174","F",2,4,1,4,5,5,5,3,3,5,2,3,2,5,3,2,1,5,5,5,4,"lorem",4,3.5454545454545454
"lorem 175","F",5,1,1,4,5,5,4,3,2,2,3,3,3,2,3,2,4,1,5,3,2,"lorem",1,2.909090909090909
"lorem 176","F",4,4,3,2,2,5,4,5,1,2,2,2,2,2,2,1,1,5,1,4,2,"lorem",4,2.727272727272727
"lorem 177","M",2,5,1,5,5,5,4,4,2,4,2,1,3,2,5,1,2,3,1,5,2,"lorem",2,3
"lorem 178","M",2,1,3,1,2,4,3,2,4,5,5,4,1,1,2,3,2,1,5,4,1,"lorem",4,2.727272727272727
"lorem 179","M",5,5,4,5,4,5,1,3,5,1,1,1,4,4,4,1,3,4,2,3,3,"lorem",1,3.1363636363636362
"lorem 180","M",4,5,3,4,4,5,3,2,2,1,5,3,1,5,3,2,5,1,1,2,3,"lorem",3,3.0454545454545454
"lorem 181","M",4,5,3,2,2,4,1,1,4,3,2,1,3,5,5,4,3,5,2,2,4,"lorem",3,3.090909090909091
"lorem 182","F",5,2,5,2,4,5,5,5,5,5,2,5,3,3,5,4,4,3,2,2,5,"lorem",4,3.8636363636363638
"lorem 183","M",4,2,5,2,2,4,5,4,2,4,3,5,2,1,1,5,5,2,2,1,3,"lorem",2,3
"lorem 184","M",5,1,3,5,4,5,2,3,3,2,1,3,1,1,5,4,5,2,1,4,5,"lorem",3,3.090909090909091
"lorem 185","F",5,1,3,1,2,3,4,2,4,4,2,5,3,4,2,2,1,3,5,5,4,"lorem",1,3
"lorem 186","F",3,3,4,2,3,4,5,2,5,4,4,4,1,3,5,1,2,2,3,2,3,"lorem",5,3.1818181818181817
"lorem 187","F",2,3,1,2,3,1,3,4,4,1,5,1,4,5,2,4,5,2,4,3,2,"lorem",3,2.909090909090909
"lorem 188","F",4,2,5,1,1,2,2,5,1,1,5,3,5,3,5,1,1,5,1,5,5,"lorem",1,2.909090909090909
"lorem 189","M",1,5,5,5,2,2,3,3,5,1,3,3,5,4,1,5,5,3,3,5,5,"lorem",3,3.5
"lorem 190","F",2,5,4,2,5,1,1,3,3,3,5,5,5,2,5,2,3,5,3,5,4,"lorem",4,3.5
"lorem 191","M",5,5,5,2,3,1,3,1,3,2,1,2,5,5,4,2,3,4,2,3,5,"lorem",4,3.1818181818181817
"lorem 192","F",4,2,3,3,4,4,3,2,1,3,4,2,4,2,4,2,2,1,5,3,4,"lorem",2,2.909090909090909
"lorem 193","F",4,4,4,4,3,5,1,3,1,2,4,2,1,5,3,3,5,5,3,1,4,"lorem",3,3.1818181818181817
"lorem 194","F",2,5,2,5,1,2,4,5,5,4,3,2,4,2,1,4,4,1,2,1,1,"lorem",3,2.8636363636363638
"lorem 195","F",4,4,5,5,3,1,2,2,2,3,5,5,2,5,2,2,5,4,3,2,3,"lorem",2,3.227272727272727
"lorem 196","M",1,3,5,4,1,4,4,2,4,3,2,3,4,2,2,1,5,1,2,2,1,"lorem",3,2.6818181818181817
"lorem 197","M",5,2,1,5,5,4,3,3,3,4,5,5,1,1,2,1,1,3,1,2,5,"lorem",5,3.0454545454545454
"lorem 198","M",3,2,1,2,1,3,3,2,1,5,5,5,2,3,5,4,3,2,5,1,5,"lorem",2,2.9545454545454546
"lorem 199","M",4,5,2,2,3,3,1,1,4,2,2,3,1,1,5,2,2,2,2,1,2,"lorem",5,2.5
"lorem 200","M",5,5,3,5,5,4,3,4,1,2,4,1,3,2,4,5,5,3,3,4,3,"lorem",5,3.590909090909091
"lorem 201","F",1,3,2,3,5,4,2,2,2,2,4,5,5,3,1,4,1,3,2,4,5,"lorem",5,3.090909090909091
"lorem 202","M",5,2,1,3,5,2,5,4,4,2,3,1,4,5,4,4,2,2,4,3,3,"lorem",2,3.1818181818181817
"lorem 203","M",2,2,5,3,2,1,1,2,3,5,2,2,2,4,1,3,1,3,1,3,2,"lorem",2,2.3636363636363638
"lorem 204","F",5,5,5,3,1,2,3,5,2,3,4,1,2,4,2,2,4,4,1,4,4,"lorem",1,3.0454545454545454
"lorem 205","F",1,3,5,5,5,2,1,1,2,2,4,1,2,1,4,5,3,5,3,5,1,"lorem",2,2.8636363636363638
"lorem 206","F",4,1,2,3,3,4,1,4,3,4,2,1,1,5,3,1,1,1,2,1,3,"lorem",4,2.4545454545454546
"lorem 207","F",2,4,2,2,3,3,3,4,5,1,3,4,2,3,5,4,1,4,5,2,1,"lorem",3,3
